index,bucket_start,bucket_start_offset_ns,bucket_duration_ns,source_x_px,source_y_px,height_px,height_ppm,target_visible_cycles_per_second,target_visible_Bcycles_per_second
118,03:17:34.883,11854883720930,100465116279,118,116.978,24.521,505598,125279900000,125.279900000
119,03:19:15.348,11955348837209,100465116279,119,117.536,23.963,494092,124704600000,124.704600000
120,03:20:55.813,12055813953488,100465116279,120,118.441,23.058,475432,123771600000,123.771600000
121,03:22:36.279,12156279069767,100465116279,121,118.485,23.014,474525,123726250000,123.726250000
122,03:24:16.744,12256744186046,100465116279,122,118.542,22.957,473349,123667450000,123.667450000
123,03:25:57.209,12357209302325,100465116279,123,119.000,22.499,463906,123195300000,123.195300000
124,03:27:37.674,12457674418604,100465116279,124,119.443,22.056,454772,122738600000,122.738600000
125,03:29:18.139,12558139534883,100465116279,125,119.505,21.994,453493,122674650000,122.674650000
126,03:30:58.604,12658604651162,100465116279,126,120.000,21.499,443287,122164350000,122.164350000
127,03:32:39.069,12759069767441,100465116279,127,120.461,21.038,433782,121689100000,121.689100000
128,03:34:19.534,12859534883720,100465116280,128,121.449,20.050,413410,120670500000,120.670500000
129,03:36:00.000,12960000000000,100465116279,129,122.472,19.027,392317,119615850000,119.615850000
130,03:37:40.465,13060465116279,100465116279,130,123.450,18.049,372152,118607600000,118.607600000
131,03:39:20.930,13160930232558,100465116279,131,123.503,17.996,371059,118552950000,118.552950000
132,03:41:01.395,13261395348837,100465116279,132,123.000,18.499,381430,119071500000,119.071500000
133,03:42:41.860,13361860465116,100465116279,133,122.441,19.058,392956,119647800000,119.647800000
134,03:44:22.325,13462325581395,100465116279,134,121.542,19.957,411493,120574650000,120.574650000
135,03:46:02.790,13562790697674,100465116279,135,121.000,20.499,422668,121133400000,121.133400000
136,03:47:43.255,13663255813953,100465116279,136,120.458,21.041,433843,121692150000,121.692150000
137,03:49:23.720,13763720930232,100465116279,137,120.435,21.064,434318,121715900000,121.715900000
138,03:51:04.186,13864186046511,100465116279,138,119.456,22.043,454504,122725200000,122.725200000
139,03:52:44.651,13964651162790,100465116279,139,118.542,22.957,473349,123667450000,123.667450000
140,03:54:25.116,14065116279069,100465116279,140,118.438,23.061,475494,123774700000,123.774700000
